,"country,food_category,consumption,co2_emmission"
474,"New Caledonia,Poultry,44.36,47.65"
475,"New Caledonia,Beef,16.07,495.89"
476,"New Caledonia,Lamb & Goat,1.95,68.29"
477,"New Caledonia,Fish,19.38,30.939999999999998"
478,"New Caledonia,Eggs,8.850000000000001,8.129999999999999"
479,"New Caledonia,Milk - inc. cheese,108,153.84"
480,"New Caledonia,Wheat and Wheat Products,81.75,15.59"
481,"New Caledonia,Rice,17.47,22.36"
482,"New Caledonia,Soybeans,0.55,0.25"
483,"New Caledonia,Nuts inc. Peanut Butter,2.96,5.24"
484,"South Africa,Pork,4.159999999999999,14.719999999999999"
485,"South Africa,Poultry,37.57,40.36"
486,"South Africa,Beef,18.03,556.37"
487,"South Africa,Lamb & Goat,4.28,149.89000000000001"
488,"South Africa,Fish,5.56,8.88"
489,"South Africa,Eggs,7.21,6.619999999999999"
490,"South Africa,Milk - inc. cheese,55.75,79.41000000000001"
491,"South Africa,Wheat and Wheat Products,60.13,11.47"
492,"South Africa,Rice,17.41,22.279999999999998"
493,"South Africa,Soybeans,1.27,0.5700000000000001"
494,"South Africa,Nuts inc. Peanut Butter,1.04,1.84"
495,"Barbados,Pork,8.3,29.38"
496,"Barbados,Poultry,42.620000000000005,45.78"
497,"Barbados,Beef,13.129999999999999,405.16"
498,"Barbados,Lamb & Goat,4.08,142.88000000000002"
499,"Barbados,Fish,37.41,59.730000000000004"
500,"Barbados,Eggs,9.61,8.83"
501,"Barbados,Milk - inc. cheese,110.48,157.37"
502,"Barbados,Wheat and Wheat Products,65.71000000000001,12.53"
503,"Barbados,Rice,15.66,20.04"
504,"Barbados,Soybeans,0.1,0.05"
505,"Barbados,Nuts inc. Peanut Butter,4.159999999999999,7.359999999999999"
506,"Lithuania,Pork,45.67,161.65"
507,"Lithuania,Poultry,26.84,28.830000000000002"
508,"Lithuania,Beef,4.49,138.55"
509,"Lithuania,Lamb & Goat,0.24000000000000002,8.4"
510,"Lithuania,Fish,42.39,67.67999999999999"
511,"Lithuania,Eggs,13.11,12.04"
512,"Lithuania,Milk - inc. cheese,295.46,420.85"
513,"Lithuania,Wheat and Wheat Products,121.59,23.19"
514,"Lithuania,Rice,3.07,3.9299999999999997"
515,"Lithuania,Soybeans,0.02,0.01"
516,"Lithuania,Nuts inc. Peanut Butter,2.13,3.77"
517,"Turkey,Pork,0.01,0.04"
518,"Turkey,Poultry,18.779999999999998,20.17"
519,"Turkey,Beef,11.639999999999999,359.19"
520,"Turkey,Lamb & Goat,4.68,163.89000000000001"
521,"Turkey,Fish,5.58,8.91"
522,"Turkey,Eggs,8.2,7.53"
523,"Turkey,Milk - inc. cheese,193.94,276.25"
524,"Turkey,Wheat and Wheat Products,169.96,32.41"
525,"Turkey,Rice,10.739999999999998,13.739999999999998"
526,"Turkey,Soybeans,1.71,0.77"
527,"Turkey,Nuts inc. Peanut Butter,7.970000000000001,14.11"
528,"Estonia,Pork,29.68,105.05"
529,"Estonia,Poultry,21.110000000000003,22.68"
530,"Estonia,Beef,7.1899999999999995,221.87"
531,"Estonia,Lamb & Goat,0.44,15.41"
532,"Estonia,Fish,12.78,20.41"
533,"Estonia,Eggs,12.66,11.629999999999999"
534,"Estonia,Milk - inc. cheese,284.85,405.74"
535,"Estonia,Wheat and Wheat Products,89.36,17.04"
536,"Estonia,Rice,2.56,3.2800000000000002"
537,"Estonia,Soybeans,0.04,0.02"
538,"Estonia,Nuts inc. Peanut Butter,4.29,7.59"
539,"Mexico,Pork,15.229999999999999,53.91"
540,"Mexico,Poultry,30.12,32.349999999999994"
541,"Mexico,Beef,15.33,473.05"
542,"Mexico,Lamb & Goat,0.89,31.17"
543,"Mexico,Fish,7.56,12.07"
544,"Mexico,Eggs,18.34,16.85"
545,"Mexico,Milk - inc. cheese,111.86999999999999,159.35000000000002"
546,"Mexico,Wheat and Wheat Products,35.21,6.71"
547,"Mexico,Rice,5.64,7.22"
548,"Mexico,Soybeans,0.02,0.01"
549,"Mexico,Nuts inc. Peanut Butter,2.51,4.44"
550,"Costa Rica,Pork,10.28,36.39"
551,"Costa Rica,Poultry,24.47,26.29"
552,"Costa Rica,Beef,15.229999999999999,469.96999999999997"
553,"Costa Rica,Lamb & Goat,0.02,0.7"
554,"Costa Rica,Fish,11.32,18.07"
555,"Costa Rica,Eggs,10.55,9.69"
556,"Costa Rica,Milk - inc. cheese,183.28,261.06"
557,"Costa Rica,Wheat and Wheat Products,39.309999999999995,7.5"
558,"Costa Rica,Rice,45.690000000000005,58.47"
559,"Costa Rica,Soybeans,1.54,0.69"
560,"Costa Rica,Nuts inc. Peanut Butter,1.3800000000000001,2.44"
561,"Bolivia,Pork,8.89,31.47"
562,"Bolivia,Poultry,34.309999999999995,36.86"
563,"Bolivia,Beef,19.779999999999998,610.37"
564,"Bolivia,Lamb & Goat,1.72,60.230000000000004"
565,"Bolivia,Fish,2.18,3.48"
566,"Bolivia,Eggs,5.18,4.76"
567,"Bolivia,Milk - inc. cheese,46.04,65.58"
568,"Bolivia,Wheat and Wheat Products,49.99,9.53"
569,"Bolivia,Rice,26.99,34.54"
570,"Bolivia,Soybeans,0.01,0"
571,"Bolivia,Nuts inc. Peanut Butter,9.16,16.21"
572,"Ecuador,Pork,14.44,51.11"
573,"Ecuador,Poultry,21.85,23.47"
574,"Ecuador,Beef,16.610000000000003,512.55"
575,"Ecuador,Lamb & Goat,0.44,15.41"
576,"Ecuador,Fish,5.17,8.25"
577,"Ecuador,Eggs,8.01,7.359999999999999"
578,"Ecuador,Milk - inc. cheese,139.6,198.85000000000002"
579,"Ecuador,Wheat and Wheat Products,39.190000000000005,7.470000000000001"
580,"Ecuador,Rice,45.07,57.68"
581,"Ecuador,Soybeans,0,0"
582,"Ecuador,Nuts inc. Peanut Butter,0.98,1.73"
583,"Panama,Pork,13.48,47.71"
584,"Panama,Poultry,30.810000000000002,33.1"
585,"Panama,Beef,20.4,629.5"
586,"Panama,Lamb & Goat,0.01,0.35"
587,"Panama,Fish,11.05,17.64"
588,"Panama,Eggs,4.53,4.159999999999999"
589,"Panama,Milk - inc. cheese,70.29,100.11999999999999"
590,"Panama,Wheat and Wheat Products,38.96,7.430000000000001"
591,"Panama,Rice,66.42,85"
592,"Panama,Soybeans,3.53,1.59"
593,"Panama,Nuts inc. Peanut Butter,1.05,1.86"
594,"Czech Republic,Pork,41.17,145.72"
595,"Czech Republic,Poultry,19.09,20.51"
596,"Czech Republic,Beef,8.15,251.49"
597,"Czech Republic,Lamb & Goat,0.33999999999999997,11.91"
598,"Czech Republic,Fish,8.25,13.17"
599,"Czech Republic,Eggs,11.66,10.709999999999999"
600,"Czech Republic,Milk - inc. cheese,195.2,278.04"
601,"Czech Republic,Wheat and Wheat Products,92.66999999999999,17.67"
602,"Czech Republic,Rice,4.79,6.13"
603,"Czech Republic,Soybeans,0.8200000000000001,0.37"
604,"Czech Republic,Nuts inc. Peanut Butter,2.4699999999999998,4.37"
605,"Romania,Pork,25.310000000000002,89.58"
606,"Romania,Poultry,15.38,16.52"
607,"Romania,Beef,4.78,147.5"
608,"Romania,Lamb & Goat,3.4099999999999997,119.42"
609,"Romania,Fish,6.07,9.69"
610,"Romania,Eggs,12.94,11.89"
611,"Romania,Milk - inc. cheese,238.33,339.47999999999996"
612,"Romania,Wheat and Wheat Products,134.87,25.72"
613,"Romania,Rice,2.59,3.3099999999999996"
614,"Romania,Soybeans,0.01,0"
615,"Romania,Nuts inc. Peanut Butter,1.8,3.19"
616,"Colombia,Pork,6.51,23.04"
617,"Colombia,Poultry,27.57,29.62"
618,"Colombia,Beef,16.36,504.84000000000003"
619,"Colombia,Lamb & Goat,0.21000000000000002,7.35"
620,"Colombia,Fish,6.01,9.6"
621,"Colombia,Eggs,10.78,9.9"
622,"Colombia,Milk - inc. cheese,108.47,154.5"
623,"Colombia,Wheat and Wheat Products,29.79,5.68"
624,"Colombia,Rice,28.02,35.86"
625,"Colombia,Soybeans,0.89,0.4"
626,"Colombia,Nuts inc. Peanut Butter,0.42000000000000004,0.74"
627,"Maldives,Pork,1.22,4.319999999999999"
628,"Maldives,Poultry,18.47,19.84"
629,"Maldives,Beef,9.44,291.3"
630,"Maldives,Lamb & Goat,0.7,24.51"
631,"Maldives,Fish,179.70999999999998,286.94"
632,"Maldives,Eggs,10.79,9.91"
633,"Maldives,Milk - inc. cheese,111.47,158.78"
634,"Maldives,Wheat and Wheat Products,77.77,14.83"
635,"Maldives,Rice,50.730000000000004,64.92"
636,"Maldives,Soybeans,0.2,0.09"
637,"Maldives,Nuts inc. Peanut Butter,15.83,28.02"
638,"Cyprus,Pork,38.379999999999995,135.85000000000002"
639,"Cyprus,Poultry,24.45,26.259999999999998"
640,"Cyprus,Beef,5.79,178.67"
641,"Cyprus,Lamb & Goat,5.05,176.85000000000002"
642,"Cyprus,Fish,14.860000000000001,23.73"
643,"Cyprus,Eggs,8.98,8.25"
644,"Cyprus,Milk - inc. cheese,113.31,161.4"
645,"Cyprus,Wheat and Wheat Products,83.25,15.88"
646,"Cyprus,Rice,4.94,6.319999999999999"
647,"Cyprus,Soybeans,0.04,0.02"
648,"Cyprus,Nuts inc. Peanut Butter,4.6,8.139999999999999"
649,"Serbia,Pork,32.04,113.41000000000001"
650,"Serbia,Poultry,10.639999999999999,11.43"
651,"Serbia,Beef,7.05,217.55"
652,"Serbia,Lamb & Goat,3.56,124.66999999999999"
653,"Serbia,Fish,5.59,8.93"
654,"Serbia,Eggs,8.89,8.17"
655,"Serbia,Milk - inc. cheese,148.53,211.57"
656,"Serbia,Wheat and Wheat Products,105.88,20.19"
657,"Serbia,Rice,1.22,1.56"
658,"Serbia,Soybeans,0,0"
659,"Serbia,Nuts inc. Peanut Butter,3.3099999999999996,5.859999999999999"
660,"United Arab Emirates,Pork,0,0"
661,"United Arab Emirates,Poultry,41.04,44.09"
662,"United Arab Emirates,Beef,5.64,174.04"
663,"United Arab Emirates,Lamb & Goat,9.08,317.97999999999996"
664,"United Arab Emirates,Fish,20.41,32.59"
665,"United Arab Emirates,Eggs,8.229999999999999,7.56"
666,"United Arab Emirates,Milk - inc. cheese,132.66,188.96"
667,"United Arab Emirates,Wheat and Wheat Products,101.29,19.32"
668,"United Arab Emirates,Rice,56.25,71.98"
669,"United Arab Emirates,Soybeans,0.08,0.04"
670,"United Arab Emirates,Nuts inc. Peanut Butter,23.03,40.760000000000005"
671,"Algeria,Pork,0,0"
672,"Algeria,Poultry,7.42,7.970000000000001"
673,"Algeria,Beef,5.6,172.8"
674,"Algeria,Lamb & Goat,7.6899999999999995,269.3"
675,"Algeria,Fish,3.74,5.970000000000001"
676,"Algeria,Eggs,8.06,7.4"
677,"Algeria,Milk - inc. cheese,141.53,201.6"
678,"Algeria,Wheat and Wheat Products,185.42000000000002,35.36"
679,"Algeria,Rice,2.9699999999999998,3.8"
680,"Algeria,Soybeans,0,0"
681,"Algeria,Nuts inc. Peanut Butter,2.08,3.68"
682,"Ukraine,Pork,20.56,72.77"
683,"Ukraine,Poultry,24.23,26.03"
684,"Ukraine,Beef,8.96,276.48999999999995"
685,"Ukraine,Lamb & Goat,0.41000000000000003,14.360000000000001"
686,"Ukraine,Fish,15.229999999999999,24.32"
687,"Ukraine,Eggs,18.01,16.54"
688,"Ukraine,Milk - inc. cheese,145.03,206.58"
689,"Ukraine,Wheat and Wheat Products,105.14999999999999,20.05"
690,"Ukraine,Rice,3,3.84"
691,"Ukraine,Soybeans,0.02,0.01"
692,"Ukraine,Nuts inc. Peanut Butter,2.68,4.74"
693,"Pakistan,Pork,0,0"
694,"Pakistan,Poultry,5.01,5.38"
695,"Pakistan,Beef,8.82,272.17"
696,"Pakistan,Lamb & Goat,2.46,86.14999999999999"
697,"Pakistan,Fish,1.87,2.9899999999999998"
698,"Pakistan,Eggs,2.9499999999999997,2.71"
699,"Pakistan,Milk - inc. cheese,183.13,260.85"
700,"Pakistan,Wheat and Wheat Products,113.63,21.67"
701,"Pakistan,Rice,12.25,15.68"
702,"Pakistan,Soybeans,0,0"
703,"Pakistan,Nuts inc. Peanut Butter,0.8300000000000001,1.47"
704,"Swaziland,Pork,2.4299999999999997,8.6"
705,"Swaziland,Poultry,6.18,6.64"
706,"Swaziland,Beef,15.1,465.95"
707,"Swaziland,Lamb & Goat,1.94,67.94000000000001"
708,"Swaziland,Fish,1.26,2.01"
709,"Swaziland,Eggs,1.5,1.3800000000000001"
710,"Swaziland,Milk - inc. cheese,56.6,80.61999999999999"
711,"Swaziland,Wheat and Wheat Products,37.15,7.08"
712,"Swaziland,Rice,21.150000000000002,27.07"
713,"Swaziland,Soybeans,0.55,0.25"
714,"Swaziland,Nuts inc. Peanut Butter,6.44,11.4"
715,"Latvia,Pork,34.96,123.74000000000001"
716,"Latvia,Poultry,20.53,22.05"
717,"Latvia,Beef,5.109999999999999,157.68"
718,"Latvia,Lamb & Goat,0.33999999999999997,11.91"
719,"Latvia,Fish,21.3,34.01"
720,"Latvia,Eggs,14.03,12.89"
721,"Latvia,Milk - inc. cheese,174.10999999999999,248"
722,"Latvia,Wheat and Wheat Products,72.13,13.76"
723,"Latvia,Rice,2.21,2.8299999999999996"
724,"Latvia,Soybeans,0.04,0.02"
725,"Latvia,Nuts inc. Peanut Butter,3.7800000000000002,6.6899999999999995"
726,"Bosnia and Herzegovina,Pork,9.38,33.2"
727,"Bosnia and Herzegovina,Poultry,13.17,14.15"
728,"Bosnia and Herzegovina,Beef,9.12,281.41999999999996"
729,"Bosnia and Herzegovina,Lamb & Goat,0.47000000000000003,16.459999999999"
730,"Bosnia and Herzegovina,Fish,4.06,6.48"
731,"Bosnia and Herzegovina,Eggs,4.49,4.119999999999999"
732,"Bosnia and Herzegovina,Milk - inc. cheese,174.03,247.89000000000001"
733,"Bosnia and Herzegovina,Wheat and Wheat Products,93.56,17.84"
734,"Bosnia and Herzegovina,Rice,1.8800000000000001,2.4099999999999997"
735,"Bosnia and Herzegovina,Soybeans,1.48,0.6699999999999999"
736,"Bosnia and Herzegovina,Nuts inc. Peanut Butter,2,3.54"
737,"Fiji,Pork,4.31,15.26"
738,"Fiji,Poultry,20.259999999999998,21.759999999999998"
739,"Fiji,Beef,8.96,276.48999999999995"
740,"Fiji,Lamb & Goat,5.9,206.62"
741,"Fiji,Fish,35.01,55.9"
742,"Fiji,Eggs,6.44,5.92"
743,"Fiji,Milk - inc. cheese,40.2,57.260000000000005"
744,"Fiji,Wheat and Wheat Products,84.22,16.06"
745,"Fiji,Rice,45.620000000000005,58.379999999999995"
746,"Fiji,Soybeans,0.3,0.14"
747,"Fiji,Nuts inc. Peanut Butter,1.3,2.3"
748,"South Korea,Pork,32.760000000000005,115.95"
749,"South Korea,Poultry,16,17.19"
750,"South Korea,Beef,14.53,448.37"
751,"South Korea,Lamb & Goat,0.14,4.9"
752,"South Korea,Fish,33.09,52.83"
753,"South Korea,Eggs,11.239999999999998,10.33"
754,"South Korea,Milk - inc. cheese,29.05,41.379999999999995"
755,"South Korea,Wheat and Wheat Products,50.839999999999996,9.7"
756,"South Korea,Rice,85.17999999999999,109"
757,"South Korea,Soybeans,8.350000000000001,3.7600000000000002"
758,"South Korea,Nuts inc. Peanut Butter,4.88,8.639999999999999"
759,"Poland,Pork,46.190000000000005,163.49"
760,"Poland,Poultry,27.41,29.439999999999998"
761,"Poland,Beef,2.32,71.59"
762,"Poland,Lamb & Goat,0.02,0.7"
763,"Poland,Fish,10.49,16.75"
764,"Poland,Eggs,7.53,6.92"
765,"Poland,Milk - inc. cheese,205.39000000000001,292.56"
766,"Poland,Wheat and Wheat Products,108.83,20.75"
767,"Poland,Rice,0.9500000000000001,1.22"
768,"Poland,Soybeans,0.06,0.03"
769,"Poland,Nuts inc. Peanut Butter,2.23,3.9499999999999997"
770,"Saudi Arabia,Pork,0,0"
771,"Saudi Arabia,Poultry,49.05,52.690000000000005"
772,"Saudi Arabia,Beef,6.45,199.03"
773,"Saudi Arabia,Lamb & Goat,6.54,229.03"
774,"Saudi Arabia,Fish,11.99,19.14"
775,"Saudi Arabia,Eggs,5.37,4.930000000000001"
776,"Saudi Arabia,Milk - inc. cheese,83.64999999999999,119.14999999999999"
777,"Saudi Arabia,Wheat and Wheat Products,89.47,17.06"
778,"Saudi Arabia,Rice,36.02,46.09"
779,"Saudi Arabia,Soybeans,0.05,0.02"
780,"Saudi Arabia,Nuts inc. Peanut Butter,3.23,5.72"
781,"Botswana,Pork,0.74,2.62"
782,"Botswana,Poultry,5.33,5.73"
783,"Botswana,Beef,7.85,242.23"
784,"Botswana,Lamb & Goat,3.7600000000000002,131.67"
785,"Botswana,Fish,3.98,6.35"
786,"Botswana,Eggs,1.95,1.79"
787,"Botswana,Milk - inc. cheese,117.74000000000001,167.70999999999998"
788,"Botswana,Wheat and Wheat Products,38.2,7.28"
789,"Botswana,Rice,7.06,9.03"
790,"Botswana,Soybeans,1.1600000000000001,0.52"
791,"Botswana,Nuts inc. Peanut Butter,1.08,1.91"
792,"Macedonia,Pork,10.350000000000001,36.63"
793,"Macedonia,Poultry,18.77,20.16"
794,"Macedonia,Beef,7.6899999999999995,237.3"
795,"Macedonia,Lamb & Goat,0.9400000000000001,32.92"
796,"Macedonia,Fish,5.470000000000001,8.729999999999999"
797,"Macedonia,Eggs,6.38,5.859999999999999"
798,"Macedonia,Milk - inc. cheese,157.93,224.96"
799,"Macedonia,Wheat and Wheat Products,104.8,19.99"
800,"Macedonia,Rice,2.8099999999999996,3.6"
801,"Macedonia,Soybeans,0.46,0.21000000000000002"
802,"Macedonia,Nuts inc. Peanut Butter,5.87,10.39"
803,"Hungary,Pork,34.93,123.63"
804,"Hungary,Poultry,23.779999999999998,25.54"
805,"Hungary,Beef,4.96,153.06"
806,"Hungary,Lamb & Goat,0.11,3.8499999999999996"
807,"Hungary,Fish,4.930000000000001,7.87"
808,"Hungary,Eggs,12.450000000000001,11.44"
809,"Hungary,Milk - inc. cheese,159.05,226.55"
810,"Hungary,Wheat and Wheat Products,109.98,20.97"
811,"Hungary,Rice,2.15,2.75"
812,"Hungary,Soybeans,0.01,0"
813,"Hungary,Nuts inc. Peanut Butter,0.64,1.1300000000000001"
814,"Trinidad and Tobago,Pork,8.92,31.57"
815,"Trinidad and Tobago,Poultry,58.27,62.59"
816,"Trinidad and Tobago,Beef,6.13,189.16"
817,"Trinidad and Tobago,Lamb & Goat,2.79,97.71000000000001"
818,"Trinidad and Tobago,Fish,20.54,32.8"
819,"Trinidad and Tobago,Eggs,4.2,3.86"
820,"Trinidad and Tobago,Milk - inc. cheese,103.8,147.85000000000002"
821,"Trinidad and Tobago,Wheat and Wheat Products,90.16999999999999,17.2"
822,"Trinidad and Tobago,Rice,16.38,20.959999999999997"
823,"Trinidad and Tobago,Soybeans,0.04,0.02"
824,"Trinidad and Tobago,Nuts inc. Peanut Butter,3.7800000000000002,6.68999"
825,"Tunisia,Pork,0,0"
826,"Tunisia,Poultry,18.5,19.87"
827,"Tunisia,Beef,5.53,170.64"
828,"Tunisia,Lamb & Goat,5.34,187.01"
829,"Tunisia,Fish,12.629999999999999,20.17"
830,"Tunisia,Eggs,7.67,7.05"
831,"Tunisia,Milk - inc. cheese,114.47,163.05"
832,"Tunisia,Wheat and Wheat Products,197.5,37.660000000000004"
833,"Tunisia,Rice,1.07,1.37"
834,"Tunisia,Soybeans,1.8800000000000001,0.8500000000000001"
835,"Tunisia,Nuts inc. Peanut Butter,6.34,11.219999999999999"
836,"Egypt,Pork,0.02,0.07"
837,"Egypt,Poultry,14.43,15.5"
838,"Egypt,Beef,12.88,397.45"
839,"Egypt,Lamb & Goat,1.58,55.33"
840,"Egypt,Fish,21.459999999999997,34.260000000000005"
841,"Egypt,Eggs,4.59,4.22"
842,"Egypt,Milk - inc. cheese,59.46,84.69"
843,"Egypt,Wheat and Wheat Products,146.83,28"
844,"Egypt,Rice,39.77,50.89"
845,"Egypt,Soybeans,0.64,0.29000000000000004"
846,"Egypt,Nuts inc. Peanut Butter,1.82,3.22"
847,"Mauritius,Pork,4.08,14.44"
848,"Mauritius,Poultry,38.51,41.37"
849,"Mauritius,Beef,5.99,184.84"
850,"Mauritius,Lamb & Goat,4.08,142.88000000000002"
851,"Mauritius,Fish,19.66,31.39"
852,"Mauritius,Eggs,6.319999999999999,5.81"
853,"Mauritius,Milk - inc. cheese,117.27,167.04"
854,"Mauritius,Wheat and Wheat Products,114.02,21.74"
855,"Mauritius,Rice,45.56,58.3"
856,"Mauritius,Soybeans,0.3,0.14"
857,"Mauritius,Nuts inc. Peanut Butter,2.3299999999999996,4.119999999999999"
858,"Bulgaria,Pork,26.259999999999998,92.95"
859,"Bulgaria,Poultry,20.68,22.21"
860,"Bulgaria,Beef,3.84,118.49000000000001"
861,"Bulgaria,Lamb & Goat,1.6300000000000001,57.08"
862,"Bulgaria,Fish,6.24,9.96"
863,"Bulgaria,Eggs,8.360000000000001,7.68"
864,"Bulgaria,Milk - inc. cheese,155.70999999999998,221.79"
865,"Bulgaria,Wheat and Wheat Products,121.16999999999999,23.11000000000000"
866,"Bulgaria,Rice,2.24,2.8699999999999997"
867,"Bulgaria,Soybeans,0.04,0.02"
868,"Bulgaria,Nuts inc. Peanut Butter,2.2600000000000002,4"
869,"Morocco,Pork,0.01,0.04"
870,"Morocco,Poultry,20.77,22.310000000000002"
871,"Morocco,Beef,8.04,248.1"
872,"Morocco,Lamb & Goat,4.359999999999999,152.69"
873,"Morocco,Fish,17.439999999999998,27.85"
874,"Morocco,Eggs,6.68,6.14"
875,"Morocco,Milk - inc. cheese,54.68,77.89"
876,"Morocco,Wheat and Wheat Products,179.7,34.27"
877,"Morocco,Rice,1.1,1.41"
878,"Morocco,Soybeans,0,0"
879,"Morocco,Nuts inc. Peanut Butter,3.23,5.72"
880,"Slovakia,Pork,31.779999999999998,112.49000000000001"
881,"Slovakia,Poultry,15.129999999999999,16.25"
882,"Slovakia,Beef,5.1899999999999995,160.15"
883,"Slovakia,Lamb & Goat,0.16,5.6"
884,"Slovakia,Fish,8.39,13.4"
885,"Slovakia,Eggs,16.05,14.739999999999998"
886,"Slovakia,Milk - inc. cheese,143.14,203.89000000000001"
887,"Slovakia,Wheat and Wheat Products,123.61999999999999,23.57"
888,"Slovakia,Rice,2.88,3.69"
889,"Slovakia,Soybeans,0.02,0.01"
890,"Slovakia,Nuts inc. Peanut Butter,3.7,6.55"
891,"Niger,Pork,0.09,0.32"
892,"Niger,Poultry,1.08,1.1600000000000001"
893,"Niger,Beef,8.97,276.8"
894,"Niger,Lamb & Goat,4.17,146.03"
895,"Niger,Fish,2.7,4.31"
896,"Niger,Eggs,0.3,0.28"
897,"Niger,Milk - inc. cheese,58.92,83.93"
898,"Niger,Wheat and Wheat Products,4.79,0.91"
899,"Niger,Rice,13.17,16.85"
900,"Niger,Soybeans,0,0"
901,"Niger,Nuts inc. Peanut Butter,6.95,12.3"
902,"Kenya,Pork,0.29000000000000004,1.03"
903,"Kenya,Poultry,0.47000000000000003,0.5"
904,"Kenya,Beef,9.54,294.38"
905,"Kenya,Lamb & Goat,1.86,65.14"
906,"Kenya,Fish,4.2700000000000005,6.819999999999999"
907,"Kenya,Eggs,1.84,1.6900000000000002"
908,"Kenya,Milk - inc. cheese,94.86,135.12"
909,"Kenya,Wheat and Wheat Products,34.65,6.609999999999999"
910,"Kenya,Rice,12.94,16.56"
911,"Kenya,Soybeans,0.2,0.09"
912,"Kenya,Nuts inc. Peanut Butter,1.6400000000000001,2.9"
913,"Jordan,Pork,0.02,0.07"
914,"Jordan,Poultry,33.39,35.87"
915,"Jordan,Beef,5.609999999999999,173.10999999999999"
916,"Jordan,Lamb & Goat,5.68,198.91"
917,"Jordan,Fish,5.13,8.19"
918,"Jordan,Eggs,3.92,3.6"
919,"Jordan,Milk - inc. cheese,77.67999999999999,110.64999999999999"
920,"Jordan,Wheat and Wheat Products,136.73999999999998,26.08"
921,"Jordan,Rice,19.67,25.17"
922,"Jordan,Soybeans,0.02,0.01"
923,"Jordan,Nuts inc. Peanut Butter,3.56,6.3"
924,"Japan,Pork,20.62,72.98"
925,"Japan,Poultry,19.419999999999998,20.86"
926,"Japan,Beef,9.15,282.35"
927,"Japan,Lamb & Goat,0.14,4.9"
928,"Japan,Fish,31.1,49.660000000000004"
929,"Japan,Eggs,19.150000000000002,17.59"
930,"Japan,Milk - inc. cheese,72.06,102.64"
931,"Japan,Wheat and Wheat Products,45.04,8.59"
932,"Japan,Rice,59.849999999999994,76.59"
933,"Japan,Soybeans,7.34,3.3"
934,"Japan,Nuts inc. Peanut Butter,2.59,4.58"
935,"Georgia,Pork,8.93,31.610000000000003"
936,"Georgia,Poultry,12.28,13.19"
937,"Georgia,Beef,6.04,186.38000000000002"
938,"Georgia,Lamb & Goat,0.63,22.06"
939,"Georgia,Fish,10.42,16.64"
940,"Georgia,Eggs,6.119999999999999,5.619999999999999"
941,"Georgia,Milk - inc. cheese,149.26,212.60999999999999"
