,"country,food_category,consumption,co2_emmission"
942,"Georgia,Wheat and Wheat Products,163.43,31.17"
943,"Georgia,Rice,2.64,3.38"
944,"Georgia,Soybeans,0,0"
945,"Georgia,Nuts inc. Peanut Butter,2.4699999999999998,4.37"
946,"Grenada,Pork,11.52,40.78"
947,"Grenada,Poultry,43.51,46.74"
948,"Grenada,Beef,3.46,106.77"
949,"Grenada,Lamb & Goat,1.25,43.77"
950,"Grenada,Fish,27.95,44.63"
951,"Grenada,Eggs,10.34,9.5"
952,"Grenada,Milk - inc. cheese,86.88,123.75"
953,"Grenada,Wheat and Wheat Products,59.59,11.360000000000001"
954,"Grenada,Rice,9.56,12.229999999999999"
955,"Grenada,Soybeans,0.01,0"
956,"Grenada,Nuts inc. Peanut Butter,0.18,0.32"
957,"El Salvador,Pork,3.23,11.43"
958,"El Salvador,Poultry,19.84,21.310000000000002"
959,"El Salvador,Beef,5.95,183.6"
960,"El Salvador,Lamb & Goat,0.02,0.7"
961,"El Salvador,Fish,6.25,9.98"
962,"El Salvador,Eggs,9.51,8.739999999999998"
963,"El Salvador,Milk - inc. cheese,124.34,177.10999999999999"
964,"El Salvador,Wheat and Wheat Products,28.19,5.38"
965,"El Salvador,Rice,10.53,13.48"
966,"El Salvador,Soybeans,0.8,0.36"
967,"El Salvador,Nuts inc. Peanut Butter,1.1,1.95"
968,"Cuba,Pork,19.82,70.14999999999999"
969,"Cuba,Poultry,20.150000000000002,21.650000000000002"
970,"Cuba,Beef,6.39,197.18"
971,"Cuba,Lamb & Goat,1.24,43.42"
972,"Cuba,Fish,4.76,7.6"
973,"Cuba,Eggs,9.82,9.02"
974,"Cuba,Milk - inc. cheese,99.94000000000001,142.35000000000002"
975,"Cuba,Wheat and Wheat Products,54.620000000000005,10.42"
976,"Cuba,Rice,67.7,86.64"
977,"Cuba,Soybeans,6.34,2.8499999999999996"
978,"Cuba,Nuts inc. Peanut Butter,0.23,0.41000000000000003"
979,"China,Pork,38.43,136.02"
980,"China,Poultry,13.2,14.18"
981,"China,Beef,5.119999999999999,157.99"
982,"China,Lamb & Goat,3.13,109.61"
983,"China,Fish,21.01,33.55"
984,"China,Eggs,18.759999999999998,17.23"
985,"China,Milk - inc. cheese,32.660000000000004,46.52"
986,"China,Wheat and Wheat Products,63.36,12.08"
987,"China,Rice,78.17999999999999,100.05"
988,"China,Soybeans,3.66,1.6500000000000001"
989,"China,Nuts inc. Peanut Butter,6.39,11.31"
990,"Honduras,Pork,6.48,22.939999999999998"
991,"Honduras,Poultry,20.29,21.8"
992,"Honduras,Beef,7.1899999999999995,221.87"
993,"Honduras,Lamb & Goat,0.04,1.4"
994,"Honduras,Fish,2.7,4.31"
995,"Honduras,Eggs,5.1899999999999995,4.7700000000000005"
996,"Honduras,Milk - inc. cheese,91.33,130.09"
997,"Honduras,Wheat and Wheat Products,37.36,7.119999999999999"
998,"Honduras,Rice,14.42,18.45"
999,"Honduras,Soybeans,0.01,0"
1000,"Honduras,Nuts inc. Peanut Butter,0.75,1.33"
1001,"Taiwan. ROC,Pork,39.37,139.35000000000002"
1002,"Taiwan. ROC,Poultry,32.13,34.51"
1003,"Taiwan. ROC,Beef,5.21,160.76999999999998"
1004,"Taiwan. ROC,Lamb & Goat,0.92,32.220000000000006"
1005,"Taiwan. ROC,Fish,18.29,29.2"
1006,"Taiwan. ROC,Eggs,13.08,12.02"
1007,"Taiwan. ROC,Milk - inc. cheese,41.720000000000006,59.43"
1008,"Taiwan. ROC,Wheat and Wheat Products,50.92,9.709999999999999"
1009,"Taiwan. ROC,Rice,45.849999999999994,58.67"
1010,"Taiwan. ROC,Soybeans,16.95,7.63"
1011,"Taiwan. ROC,Nuts inc. Peanut Butter,9.06,16.04"
1012,"Angola,Pork,8.89,31.47"
1013,"Angola,Poultry,17.330000000000002,18.62"
1014,"Angola,Beef,8.42,259.82"
1015,"Angola,Lamb & Goat,1.08,37.82"
1016,"Angola,Fish,15.239999999999998,24.330000000000002"
1017,"Angola,Eggs,1.11,1.02"
1018,"Angola,Milk - inc. cheese,12.3,17.52"
1019,"Angola,Wheat and Wheat Products,40.720000000000006,7.7700000000000005"
1020,"Angola,Rice,8.12,10.39"
1021,"Angola,Soybeans,0.52,0.23"
1022,"Angola,Nuts inc. Peanut Butter,2.2600000000000002,4"
1023,"Jamaica,Pork,3.9899999999999998,14.12"
1024,"Jamaica,Poultry,52.51,56.41"
1025,"Jamaica,Beef,3.9699999999999998,122.51"
1026,"Jamaica,Lamb & Goat,1.26,44.13"
1027,"Jamaica,Fish,21.95,35.05"
1028,"Jamaica,Eggs,2.27,2.09"
1029,"Jamaica,Milk - inc. cheese,91.13,129.81"
1030,"Jamaica,Wheat and Wheat Products,70.66999999999999,13.48"
1031,"Jamaica,Rice,23.45,30.01"
1032,"Jamaica,Soybeans,0,0"
1033,"Jamaica,Nuts inc. Peanut Butter,1.82,3.22"
1034,"Namibia,Pork,4.21,14.9"
1035,"Namibia,Poultry,12.19,13.09"
1036,"Namibia,Beef,3.75,115.72"
1037,"Namibia,Lamb & Goat,2.27,79.5"
1038,"Namibia,Fish,10.7,17.08"
1039,"Namibia,Eggs,1.6300000000000001,1.5"
1040,"Namibia,Milk - inc. cheese,73.05,104.05"
1041,"Namibia,Wheat and Wheat Products,36.260000000000005,6.91"
1042,"Namibia,Rice,6.31,8.07"
1043,"Namibia,Soybeans,0.07,0.03"
1044,"Namibia,Nuts inc. Peanut Butter,0.71,1.26"
1045,"Belize,Pork,16.8,59.46"
1046,"Belize,Poultry,28.310000000000002,30.41"
1047,"Belize,Beef,4.859999999999999,149.97"
1048,"Belize,Lamb & Goat,0.14,4.9"
1049,"Belize,Fish,7.57,12.09"
1050,"Belize,Eggs,4.85,4.46"
1051,"Belize,Milk - inc. cheese,80.3,114.38"
1052,"Belize,Wheat and Wheat Products,54.06,10.31"
1053,"Belize,Rice,28.419999999999998,36.37"
1054,"Belize,Soybeans,1.8800000000000001,0.8500000000000001"
1055,"Belize,Nuts inc. Peanut Butter,5.58,9.88"
1056,"Malaysia,Pork,7.76,27.47"
1057,"Malaysia,Poultry,41.01,44.05"
1058,"Malaysia,Beef,6.52,201.19"
1059,"Malaysia,Lamb & Goat,0.9400000000000001,32.92"
1060,"Malaysia,Fish,49.43,78.92"
1061,"Malaysia,Eggs,16.57,15.219999999999999"
1062,"Malaysia,Milk - inc. cheese,25.279999999999998,36.01"
1063,"Malaysia,Wheat and Wheat Products,51.04,9.729999999999999"
1064,"Malaysia,Rice,81.25,103.98"
1065,"Malaysia,Soybeans,0.04,0.02"
1066,"Malaysia,Nuts inc. Peanut Butter,2.9,5.13"
1067,"Zimbabwe,Pork,2.65,9.38"
1068,"Zimbabwe,Poultry,4.970000000000001,5.34"
1069,"Zimbabwe,Beef,7.37,227.42000000000002"
1070,"Zimbabwe,Lamb & Goat,0.96,33.620000000000005"
1071,"Zimbabwe,Fish,2.8,4.470000000000001"
1072,"Zimbabwe,Eggs,1.75,1.61"
1073,"Zimbabwe,Milk - inc. cheese,31.9,45.44"
1074,"Zimbabwe,Wheat and Wheat Products,31.310000000000002,5.970000000000001"
1075,"Zimbabwe,Rice,10.09,12.91"
1076,"Zimbabwe,Soybeans,0.54,0.24000000000000002"
1077,"Zimbabwe,Nuts inc. Peanut Butter,2.22,3.9299999999999997"
1078,"Guatemala,Pork,4.85,17.17"
1079,"Guatemala,Poultry,16.45,17.67"
1080,"Guatemala,Beef,5.6,172.8"
1081,"Guatemala,Lamb & Goat,0.23,8.05"
1082,"Guatemala,Fish,1.08,1.72"
1083,"Guatemala,Eggs,14.61,13.42"
1084,"Guatemala,Milk - inc. cheese,46.6,66.38"
1085,"Guatemala,Wheat and Wheat Products,35.9,6.85"
1086,"Guatemala,Rice,5.659999999999999,7.24"
1087,"Guatemala,Soybeans,0.32,0.14"
1088,"Guatemala,Nuts inc. Peanut Butter,2,3.54"
1089,"Uganda,Pork,3.3699999999999997,11.93"
1090,"Uganda,Poultry,1.51,1.62"
1091,"Uganda,Beef,5.1499999999999995,158.92000000000002"
1092,"Uganda,Lamb & Goat,1.25,43.77"
1093,"Uganda,Fish,12.5,19.959999999999997"
1094,"Uganda,Eggs,0.97,0.89"
1095,"Uganda,Milk - inc. cheese,37.27,53.09"
1096,"Uganda,Wheat and Wheat Products,10.139999999999999,1.93"
1097,"Uganda,Rice,4.64,5.94"
1098,"Uganda,Soybeans,0.01,0"
1099,"Uganda,Nuts inc. Peanut Butter,3.77,6.67"
1100,"Nepal,Pork,0.6699999999999999,2.3699999999999997"
1101,"Nepal,Poultry,1.56,1.6800000000000002"
1102,"Nepal,Beef,7.89,243.47"
1103,"Nepal,Lamb & Goat,2.1,73.54"
1104,"Nepal,Fish,2.17,3.46"
1105,"Nepal,Eggs,1.42,1.3"
1106,"Nepal,Milk - inc. cheese,52.1,74.21000000000001"
1107,"Nepal,Wheat and Wheat Products,50.46,9.62"
1108,"Nepal,Rice,87.75,112.29"
1109,"Nepal,Soybeans,0.01,0"
1110,"Nepal,Nuts inc. Peanut Butter,2.42,4.28"
1111,"Iran,Pork,0,0"
1112,"Iran,Poultry,25.38,27.259999999999998"
1113,"Iran,Beef,3.58,110.47"
1114,"Iran,Lamb & Goat,3.69,129.22"
1115,"Iran,Fish,9.8,15.65"
1116,"Iran,Eggs,7.7,7.07"
1117,"Iran,Milk - inc. cheese,46.690000000000005,66.51"
1118,"Iran,Wheat and Wheat Products,153.31,29.24"
1119,"Iran,Rice,29.95,38.33"
1120,"Iran,Soybeans,0,0"
1121,"Iran,Nuts inc. Peanut Butter,12.16,21.52"
1122,"Tanzania,Pork,0.32,1.1300000000000001"
1123,"Tanzania,Poultry,1.84,1.98"
1124,"Tanzania,Beef,6.09,187.92000000000002"
1125,"Tanzania,Lamb & Goat,1.28,44.83"
1126,"Tanzania,Fish,5.5,8.78"
1127,"Tanzania,Eggs,0.58,0.53"
1128,"Tanzania,Milk - inc. cheese,40.290000000000006,57.39"
1129,"Tanzania,Wheat and Wheat Products,15.94,3.04"
1130,"Tanzania,Rice,21.01,26.89"
1131,"Tanzania,Soybeans,0.04,0.02"
1132,"Tanzania,Nuts inc. Peanut Butter,5.94,10.51"
1133,"Senegal,Pork,0.9400000000000001,3.3299999999999996"
1134,"Senegal,Poultry,4.619999999999999,4.96"
1135,"Senegal,Beef,5.85,180.52"
1136,"Senegal,Lamb & Goat,3.19,111.71000000000001"
1137,"Senegal,Fish,22.939999999999998,36.63"
1138,"Senegal,Eggs,1.6300000000000001,1.5"
1139,"Senegal,Milk - inc. cheese,16.86,24.02"
1140,"Senegal,Wheat and Wheat Products,37.32,7.119999999999999"
1141,"Senegal,Rice,72.29,92.51"
1142,"Senegal,Soybeans,0,0"
1143,"Senegal,Nuts inc. Peanut Butter,4.03,7.13"
1144,"Peru,Pork,3.8499999999999996,13.629999999999999"
1145,"Peru,Poultry,11.719999999999999,12.59"
1146,"Peru,Beef,4.6899999999999995,144.72"
1147,"Peru,Lamb & Goat,1,35.02"
1148,"Peru,Fish,15.739999999999998,25.130000000000003"
1149,"Peru,Eggs,8.76,8.05"
1150,"Peru,Milk - inc. cheese,62.15,88.53"
1151,"Peru,Wheat and Wheat Products,56.120000000000005,10.7"
1152,"Peru,Rice,48.92,62.6"
1153,"Peru,Soybeans,1.59,0.72"
1154,"Peru,Nuts inc. Peanut Butter,0.65,1.1500000000000001"
1155,"Nicaragua,Pork,3.38,11.96"
1156,"Nicaragua,Poultry,21.310000000000002,22.89"
1157,"Nicaragua,Beef,4.73,145.96"
1158,"Nicaragua,Lamb & Goat,0.01,0.35"
1159,"Nicaragua,Fish,3.59,5.73"
1160,"Nicaragua,Eggs,4.9,4.5"
1161,"Nicaragua,Milk - inc. cheese,85.16,121.3"
1162,"Nicaragua,Wheat and Wheat Products,28.17,5.37"
1163,"Nicaragua,Rice,43.33,55.449999999999996"
1164,"Nicaragua,Soybeans,0.01,0"
1165,"Nicaragua,Nuts inc. Peanut Butter,2.36,4.18"
1166,"Vietnam,Pork,35,123.88"
1167,"Vietnam,Poultry,12.360000000000001,13.28"
1168,"Vietnam,Beef,7.44,229.58"
1169,"Vietnam,Lamb & Goat,0.14,4.9"
1170,"Vietnam,Fish,26.52,42.339999999999996"
1171,"Vietnam,Eggs,3.84,3.53"
1172,"Vietnam,Milk - inc. cheese,16.36,23.3"
1173,"Vietnam,Wheat and Wheat Products,10.49,2"
1174,"Vietnam,Rice,144.56,184.99"
1175,"Vietnam,Soybeans,5.75,2.59"
1176,"Vietnam,Nuts inc. Peanut Butter,6.28,11.12"
1177,"Ethiopia,Pork,0.02,0.07"
1178,"Ethiopia,Poultry,0.6599999999999999,0.71"
1179,"Ethiopia,Beef,3.61,111.4"
1180,"Ethiopia,Lamb & Goat,1.57,54.98"
1181,"Ethiopia,Fish,0.24000000000000002,0.38"
1182,"Ethiopia,Eggs,0.36,0.32999999999999996"
1183,"Ethiopia,Milk - inc. cheese,44.14,62.87"
1184,"Ethiopia,Wheat and Wheat Products,31.259999999999998,5.96"
1185,"Ethiopia,Rice,2.25,2.88"
1186,"Ethiopia,Soybeans,0.45,0.2"
1187,"Ethiopia,Nuts inc. Peanut Butter,1.21,2.14"
1188,"Myanmar,Pork,11.31,40.03"
1189,"Myanmar,Poultry,21.87,23.49"
1190,"Myanmar,Beef,4.94,152.44"
1191,"Myanmar,Lamb & Goat,0.89,31.17"
1192,"Myanmar,Fish,54.260000000000005,86.64"
1193,"Myanmar,Eggs,6.45,5.92"
1194,"Myanmar,Milk - inc. cheese,31.479999999999997,44.839999999999996"
1195,"Myanmar,Wheat and Wheat Products,6.22,1.1900000000000002"
1196,"Myanmar,Rice,132.8,169.94"
1197,"Myanmar,Soybeans,0.38,0.17"
1198,"Myanmar,Nuts inc. Peanut Butter,4.5,7.970000000000001"
1199,"Congo,Pork,2.3899999999999997,8.46"
1200,"Congo,Poultry,13.02,13.99"
1201,"Congo,Beef,4.35,134.23"
1202,"Congo,Lamb & Goat,0.4,14.01"
1203,"Congo,Fish,26.22,41.86"
1204,"Congo,Eggs,0.6,0.55"
1205,"Congo,Milk - inc. cheese,10.69,15.229999999999999"
1206,"Congo,Wheat and Wheat Products,40.07,7.64"
1207,"Congo,Rice,16.51,21.130000000000003"
1208,"Congo,Soybeans,0,0"
1209,"Congo,Nuts inc. Peanut Butter,3.08,5.45"
1210,"Zambia,Pork,1.6600000000000001,5.88"
1211,"Zambia,Poultry,3.29,3.53"
1212,"Zambia,Beef,4.76,146.88000000000002"
1213,"Zambia,Lamb & Goat,0.6799999999999999,23.810000000000002"
1214,"Zambia,Fish,6.2,9.9"
1215,"Zambia,Eggs,3.32,3.05"
1216,"Zambia,Milk - inc. cheese,9.709999999999999,13.83"
1217,"Zambia,Wheat and Wheat Products,12.1,2.3099999999999996"
1218,"Zambia,Rice,3.05,3.9"
1219,"Zambia,Soybeans,7.3,3.29"
1220,"Zambia,Nuts inc. Peanut Butter,5.04,8.92"
1221,"Cameroon,Pork,1.47,5.2"
1222,"Cameroon,Poultry,3.29,3.53"
1223,"Cameroon,Beef,4.17,128.68"
1224,"Cameroon,Lamb & Goat,1.4,49.03"
1225,"Cameroon,Fish,14.709999999999999,23.49"
1226,"Cameroon,Eggs,0.4,0.37"
1227,"Cameroon,Milk - inc. cheese,15.27,21.75"
1228,"Cameroon,Wheat and Wheat Products,22.6,4.31"
1229,"Cameroon,Rice,23.85,30.52"
1230,"Cameroon,Soybeans,0.64,0.29000000000000004"
1231,"Cameroon,Nuts inc. Peanut Butter,9.29,16.439999999999998"
1232,"Madagascar,Pork,2.56,9.06"
1233,"Madagascar,Poultry,3.14,3.3699999999999997"
1234,"Madagascar,Beef,7.51,231.73999999999998"
1235,"Madagascar,Lamb & Goat,0.5700000000000001,19.959999999999997"
1236,"Madagascar,Fish,4.41,7.04"
1237,"Madagascar,Eggs,0.71,0.65"
1238,"Madagascar,Milk - inc. cheese,24.84,35.379999999999995"
1239,"Madagascar,Wheat and Wheat Products,9.01,1.72"
1240,"Madagascar,Rice,102.53,131.20999999999998"
1241,"Madagascar,Soybeans,0,0"
1242,"Madagascar,Nuts inc. Peanut Butter,0.35,0.62"
1243,"Malawi,Pork,5.45,19.29"
1244,"Malawi,Poultry,1.3800000000000001,1.48"
1245,"Malawi,Beef,2.3499999999999996,72.52"
1246,"Malawi,Lamb & Goat,2.07,72.49000000000001"
1247,"Malawi,Fish,7.33,11.7"
1248,"Malawi,Eggs,1.08,0.99"
1249,"Malawi,Milk - inc. cheese,7.98,11.370000000000001"
1250,"Malawi,Wheat and Wheat Products,11.77,2.24"
1251,"Malawi,Rice,4.75,6.08"
1252,"Malawi,Soybeans,1.76,0.7899999999999999"
1253,"Malawi,Nuts inc. Peanut Butter,5.08,8.99"
1254,"Guinea,Pork,0.16,0.5700000000000001"
1255,"Guinea,Poultry,1.83,1.97"
1256,"Guinea,Beef,6.26,193.17"
1257,"Guinea,Lamb & Goat,1.6,56.03"
1258,"Guinea,Fish,9.18,14.66"
1259,"Guinea,Eggs,1.95,1.79"
1260,"Guinea,Milk - inc. cheese,20.62,29.37"
1261,"Guinea,Wheat and Wheat Products,18.55,3.54"
1262,"Guinea,Rice,97.11999999999999,124.28"
1263,"Guinea,Soybeans,0,0"
1264,"Guinea,Nuts inc. Peanut Butter,4.14,7.33"
1265,"Nigeria,Pork,1.47,5.2"
1266,"Nigeria,Poultry,1.73,1.86"
1267,"Nigeria,Beef,2.3299999999999996,71.9"
1268,"Nigeria,Lamb & Goat,2.72,95.25"
1269,"Nigeria,Fish,16.03,25.59"
1270,"Nigeria,Eggs,3.46,3.18"
1271,"Nigeria,Milk - inc. cheese,7.91,11.27"
1272,"Nigeria,Wheat and Wheat Products,20.82,3.9699999999999998"
1273,"Nigeria,Rice,28.23,36.13"
1274,"Nigeria,Soybeans,2.6,1.1700000000000002"
1275,"Nigeria,Nuts inc. Peanut Butter,6.930000000000001,12.27"
1276,"Rwanda,Pork,0.76,2.69"
1277,"Rwanda,Poultry,1.34,1.44"
1278,"Rwanda,Beef,2.53,78.07"
1279,"Rwanda,Lamb & Goat,1.93,67.59"
1280,"Rwanda,Fish,3.88,6.2"
1281,"Rwanda,Eggs,0.16,0.15000000000000002"
1282,"Rwanda,Milk - inc. cheese,7.23,10.3"
1283,"Rwanda,Wheat and Wheat Products,11.34,2.16"
1284,"Rwanda,Rice,8.7,11.129999999999999"
1285,"Rwanda,Soybeans,1.93,0.8700000000000001"
1286,"Rwanda,Nuts inc. Peanut Butter,0.58,1.03"
1287,"Philippines,Pork,18.4,65.13"
1288,"Philippines,Poultry,11.91,12.79"
1289,"Philippines,Beef,4.06,125.28"
1290,"Philippines,Lamb & Goat,0.56,19.610000000000003"
1291,"Philippines,Fish,28.51,45.52"
1292,"Philippines,Eggs,4.02,3.69"
1293,"Philippines,Milk - inc. cheese,15.66,22.310000000000002"
1294,"Philippines,Wheat and Wheat Products,23.12,4.41"
1295,"Philippines,Rice,119.44000000000001,152.85000000000002"
1296,"Philippines,Soybeans,0.03,0.01"
1297,"Philippines,Nuts inc. Peanut Butter,2.08,3.68"
1298,"Ghana,Pork,1.36,4.81"
1299,"Ghana,Poultry,8.629999999999999,9.27"
1300,"Ghana,Beef,1.09,33.64"
1301,"Ghana,Lamb & Goat,1.74,60.93"
1302,"Ghana,Fish,26.05,41.59"
1303,"Ghana,Eggs,1.21,1.11"
1304,"Ghana,Milk - inc. cheese,9.08,12.93"
1305,"Ghana,Wheat and Wheat Products,14.450000000000001,2.7600000000000002"
1306,"Ghana,Rice,32.03,40.99"
1307,"Ghana,Soybeans,0.01,0"
1308,"Ghana,Nuts inc. Peanut Butter,5.56,9.84"
1309,"Togo,Pork,1.57,5.56"
1310,"Togo,Poultry,6.63,7.119999999999999"
1311,"Togo,Beef,1.53,47.21"
1312,"Togo,Lamb & Goat,1.58,55.33"
1313,"Togo,Fish,11.69,18.67"
1314,"Togo,Eggs,0.8600000000000001,0.7899999999999999"
1315,"Togo,Milk - inc. cheese,7.96,11.34"
1316,"Togo,Wheat and Wheat Products,12.91,2.46"
1317,"Togo,Rice,25.99,33.260000000000005"
1318,"Togo,Soybeans,0.01,0"
1319,"Togo,Nuts inc. Peanut Butter,3.59,6.35"
1320,"Gambia,Pork,0.18,0.64"
1321,"Gambia,Poultry,2.66,2.86"
1322,"Gambia,Beef,2.16,66.64999999999999"
1323,"Gambia,Lamb & Goat,0.71,24.86"
1324,"Gambia,Fish,23.130000000000003,36.93"
1325,"Gambia,Eggs,0.99,0.91"
1326,"Gambia,Milk - inc. cheese,45.71,65.11"
1327,"Gambia,Wheat and Wheat Products,37.91,7.23"
1328,"Gambia,Rice,61.839999999999996,79.14"
1329,"Gambia,Soybeans,0,0"
1330,"Gambia,Nuts inc. Peanut Butter,5.2700000000000005,9.33"
1331,"India,Pork,0.28,0.99"
1332,"India,Poultry,1.8800000000000001,2.02"
1333,"India,Beef,0.81,24.99"
1334,"India,Lamb & Goat,0.58,20.310000000000002"
1335,"India,Fish,4.71,7.52"
1336,"India,Eggs,2.58,2.3699999999999997"
1337,"India,Milk - inc. cheese,84.5,120.36"
1338,"India,Wheat and Wheat Products,60.56,11.55"
1339,"India,Rice,69.49000000000001,88.93"
1340,"India,Soybeans,0.39,0.18"
1341,"India,Nuts inc. Peanut Butter,1.92,3.4"
1342,"Thailand,Pork,13,46.01"
1343,"Thailand,Poultry,13.69,14.709999999999999"
1344,"Thailand,Beef,2.56,79"
1345,"Thailand,Lamb & Goat,0.05,1.75"
1346,"Thailand,Fish,19.45,31.06"
1347,"Thailand,Eggs,12.350000000000001,11.34"
1348,"Thailand,Milk - inc. cheese,29.35,41.809999999999995"
1349,"Thailand,Wheat and Wheat Products,10.93,2.08"
1350,"Thailand,Rice,114.57,146.62"
1351,"Thailand,Soybeans,2.13,0.96"
1352,"Thailand,Nuts inc. Peanut Butter,1.5,2.66"
1353,"Mozambique,Pork,5.13,18.16"
1354,"Mozambique,Poultry,1.41,1.51"
1355,"Mozambique,Beef,1.04,32.09"
1356,"Mozambique,Lamb & Goat,0.9,31.52"
1357,"Mozambique,Fish,7.74,12.360000000000001"
1358,"Mozambique,Eggs,1.7,1.56"
1359,"Mozambique,Milk - inc. cheese,4.79,6.819999999999999"
1360,"Mozambique,Wheat and Wheat Products,14.65,2.79"
1361,"Mozambique,Rice,23.41,29.959999999999997"
1362,"Mozambique,Soybeans,0.03,0.01"
1363,"Mozambique,Nuts inc. Peanut Butter,2.61,4.619999999999999"
1364,"Cambodia,Pork,6.52,23.08"
1365,"Cambodia,Poultry,1.84,1.98"
1366,"Cambodia,Beef,4.85,149.66"
1367,"Cambodia,Lamb & Goat,0,0"
1368,"Cambodia,Fish,39.59,63.21"
1369,"Cambodia,Eggs,1.37,1.26"
1370,"Cambodia,Milk - inc. cheese,3.4699999999999998,4.94"
1371,"Cambodia,Wheat and Wheat Products,2.74,0.52"
1372,"Cambodia,Rice,159.1,203.6"
1373,"Cambodia,Soybeans,4.33,1.95"
1374,"Cambodia,Nuts inc. Peanut Butter,1.25,2.21"
1375,"Sierra Leone,Pork,1.22,4.319999999999999"
1376,"Sierra Leone,Poultry,4.970000000000001,5.34"
1377,"Sierra Leone,Beef,1.99,61.41"
1378,"Sierra Leone,Lamb & Goat,0.65,22.759999999999998"
1379,"Sierra Leone,Fish,32.03,51.14"
1380,"Sierra Leone,Eggs,1.92,1.76"
1381,"Sierra Leone,Milk - inc. cheese,7,9.97"
1382,"Sierra Leone,Wheat and Wheat Products,8.719999999999999,1.660000000000"
1383,"Sierra Leone,Rice,103.3,132.19"
1384,"Sierra Leone,Soybeans,0,0"
1385,"Sierra Leone,Nuts inc. Peanut Butter,5.57,9.860000000000001"
1386,"Sri Lanka,Pork,0.05,0.18"
1387,"Sri Lanka,Poultry,4.96,5.33"
1388,"Sri Lanka,Beef,1.3800000000000001,42.58"
1389,"Sri Lanka,Lamb & Goat,0.09,3.15"
1390,"Sri Lanka,Fish,24.919999999999998,39.790000000000006"
1391,"Sri Lanka,Eggs,4.57,4.2"
1392,"Sri Lanka,Milk - inc. cheese,34.98,49.83"
1393,"Sri Lanka,Wheat and Wheat Products,37.01,7.06"
1394,"Sri Lanka,Rice,109.72,140.41"
1395,"Sri Lanka,Soybeans,0,0"
1396,"Sri Lanka,Nuts inc. Peanut Butter,1.09,1.93"
1397,"Indonesia,Pork,2.98,10.55"
1398,"Indonesia,Poultry,7.5,8.06"
1399,"Indonesia,Beef,2.59,79.92"
1400,"Indonesia,Lamb & Goat,0.46,16.110000000000003"
1401,"Indonesia,Fish,25.650000000000002,40.949999999999996"
1402,"Indonesia,Eggs,4.88,4.48"
1403,"Indonesia,Milk - inc. cheese,14.82,21.110000000000003"
1404,"Indonesia,Wheat and Wheat Products,25.45,4.85"
1405,"Indonesia,Rice,134.62,172.26999999999998"
1406,"Indonesia,Soybeans,1.12,0.5"
1407,"Indonesia,Nuts inc. Peanut Butter,4.92,8.709999999999999"
1408,"Liberia,Pork,4.01,14.19"
1409,"Liberia,Poultry,8.91,9.57"
1410,"Liberia,Beef,0.7799999999999999,24.07"
1411,"Liberia,Lamb & Goat,0.48000000000000004,16.810000000000002"
1412,"Liberia,Fish,4.13,6.59"
1413,"Liberia,Eggs,2.05,1.8800000000000001"
1414,"Liberia,Milk - inc. cheese,3.04,4.33"
1415,"Liberia,Wheat and Wheat Products,10.950000000000001,2.09"
1416,"Liberia,Rice,94.75,121.25"
1417,"Liberia,Soybeans,0.63,0.28"
1418,"Liberia,Nuts inc. Peanut Butter,1.31,2.32"
1419,"Bangladesh,Pork,0,0"
1420,"Bangladesh,Poultry,1.4,1.5"
1421,"Bangladesh,Beef,1.28,39.5"
1422,"Bangladesh,Lamb & Goat,1.33,46.58"
1423,"Bangladesh,Fish,18.07,28.85"
1424,"Bangladesh,Eggs,2.08,1.91"
1425,"Bangladesh,Milk - inc. cheese,21.91,31.21"
1426,"Bangladesh,Wheat and Wheat Products,17.47,3.3299999999999996"
1427,"Bangladesh,Rice,171.73,219.76"
1428,"Bangladesh,Soybeans,0.61,0.27"
1429,"Bangladesh,Nuts inc. Peanut Butter,0.72,1.27"
